SST,COEFF1,COEFF2,COEFF3,COEFF4
14.214,0.945,0.749,0.318,0.257
14.254,0.94,0.757,0.318,0.258
14.292,0.94,0.762,0.317,0.257
14.331,0.943,0.763,0.319,0.256
14.369,0.94,0.765,0.324,0.255
14.408,0.956,0.761,0.327,0.255
14.446,0.981,0.756,0.329,0.255
14.483,0.987,0.754,0.33,0.256
14.521,0.989,0.76,0.33,0.257
14.56,1.003,0.764,0.332,0.258
14.598,1.013,0.77,0.338,0.255
14.636,1.026,0.772,0.342,0.255
14.674,1.041,0.775,0.345,0.252
14.713,1.064,0.774,0.349,0.252
14.751,1.067,0.779,0.35,0.251
14.79,1.055,0.785,0.349,0.253
14.827,1.05,0.794,0.348,0.254
14.864,1.048,0.801,0.35,0.256
14.899,1.052,0.804,0.353,0.257
14.936,1.061,0.805,0.356,0.259
14.972,1.067,0.807,0.359,0.26
15.009,1.075,0.803,0.366,0.259
15.046,1.083,0.803,0.371,0.258
15.082,1.076,0.809,0.375,0.256
15.118,1.065,0.815,0.376,0.257
15.155,1.07,0.816,0.378,0.257
15.191,1.065,0.823,0.377,0.257
15.229,1.056,0.827,0.371,0.259
15.266,1.051,0.827,0.37,0.258
15.305,1.04,0.832,0.369,0.259
15.343,1.046,0.836,0.367,0.26
15.381,1.043,0.842,0.364,0.261
15.419,1.055,0.843,0.369,0.261
15.457,1.066,0.844,0.371,0.262
15.495,1.078,0.839,0.375,0.26
15.535,1.09,0.837,0.381,0.259
15.574,1.117,0.828,0.388,0.258
15.614,1.134,0.826,0.394,0.258
15.653,1.14,0.828,0.395,0.258
15.692,1.149,0.829,0.396,0.26
15.733,1.147,0.83,0.394,0.262
15.775,1.133,0.836,0.394,0.261
15.817,1.131,0.838,0.392,0.263
15.858,1.138,0.838,0.393,0.262
15.9,1.141,0.837,0.395,0.262
15.943,1.147,0.839,0.396,0.261
15.986,1.153,0.838,0.397,0.262
16.031,1.153,0.84,0.398,0.263
16.076,1.146,0.845,0.399,0.263
16.121,1.149,0.849,0.4,0.263
16.167,1.139,0.852,0.399,0.264
16.214,1.14,0.856,0.4,0.264
16.26,1.134,0.858,0.4,0.263
16.305,1.147,0.855,0.4,0.264
16.351,1.149,0.853,0.402,0.264
16.396,1.16,0.851,0.405,0.264
16.441,1.172,0.85,0.406,0.263
16.487,1.185,0.845,0.407,0.263
16.532,1.178,0.845,0.41,0.262
16.577,1.17,0.846,0.41,0.261
16.624,1.147,0.85,0.409,0.26
16.67,1.125,0.854,0.409,0.258
16.717,1.108,0.857,0.41,0.257
16.765,1.109,0.855,0.409,0.256
16.811,1.123,0.852,0.411,0.255
16.858,1.147,0.847,0.417,0.255
16.905,1.17,0.841,0.419,0.255
16.953,1.19,0.839,0.422,0.255
17.001,1.214,0.841,0.427,0.256
17.051,1.233,0.844,0.429,0.256
17.1,1.256,0.844,0.429,0.258
17.15,1.282,0.845,0.436,0.258
17.2,1.31,0.846,0.437,0.258
17.252,1.328,0.845,0.439,0.259
17.304,1.333,0.845,0.443,0.259
17.356,1.329,0.849,0.442,0.259
17.408,1.326,0.85,0.446,0.258
17.461,1.319,0.85,0.451,0.258
17.514,1.316,0.852,0.455,0.258
17.567,1.325,0.851,0.459,0.258
17.621,1.336,0.848,0.462,0.258
17.674,1.351,0.845,0.457,0.259
17.729,1.364,0.842,0.454,0.26
17.783,1.396,0.836,0.453,0.26
17.837,1.395,0.836,0.456,0.258
17.893,1.414,0.834,0.459,0.257
17.949,1.414,0.835,0.463,0.255
18.006,1.419,0.839,0.463,0.254
18.063,1.394,0.847,0.462,0.252
18.121,1.416,0.845,0.455,0.254
18.179,1.433,0.845,0.452,0.254
18.236,1.442,0.846,0.448,0.255
18.296,1.454,0.843,0.445,0.257
18.356,1.479,0.839,0.443,0.257
18.416,1.49,0.84,0.44,0.258
18.476,1.49,0.843,0.439,0.259
18.537,1.506,0.84,0.435,0.262
18.598,1.528,0.839,0.433,0.263
18.661,1.526,0.839,0.424,0.268
18.723,1.517,0.839,0.422,0.269
18.79,1.53,0.835,0.415,0.271
18.857,1.528,0.836,0.412,0.272
18.923,1.53,0.835,0.408,0.275
18.99,1.55,0.833,0.406,0.276
19.058,1.598,0.829,0.403,0.278
19.129,1.604,0.828,0.403,0.279
19.201,1.619,0.826,0.398,0.281
19.273,1.627,0.827,0.388,0.284
19.347,1.654,0.822,0.379,0.288
19.422,1.649,0.821,0.367,0.291
19.497,1.659,0.819,0.356,0.295
19.573,1.666,0.816,0.347,0.297
19.649,1.69,0.811,0.342,0.299
19.724,1.685,0.809,0.341,0.299
19.8,1.706,0.807,0.341,0.3
19.876,1.724,0.804,0.338,0.301
19.953,1.754,0.8,0.339,0.302
20.031,1.758,0.797,0.335,0.304
20.109,1.79,0.794,0.325,0.311
20.186,1.795,0.789,0.32,0.314
20.265,1.818,0.784,0.315,0.32
20.344,1.814,0.782,0.304,0.327
20.422,1.822,0.779,0.3,0.334
20.501,1.806,0.78,0.3,0.337
20.58,1.817,0.781,0.298,0.342
20.66,1.794,0.783,0.289,0.351
20.739,1.776,0.786,0.284,0.358
20.817,1.751,0.79,0.272,0.373
20.896,1.718,0.793,0.258,0.389
20.974,1.682,0.797,0.242,0.407
21.053,1.66,0.8,0.232,0.42
21.133,1.653,0.801,0.22,0.44
21.215,1.635,0.803,0.212,0.451
21.298,1.622,0.806,0.204,0.465
21.388,1.587,0.81,0.195,0.476
